vault,name,symbol,block_created,tx_hash,tvl,denomination_asset,policies,creator
0x533f27610B49502D2AC8150517536Da70E31344d,test,ENZF,16991137,0x9fecb2b0d52a51cc4536fb4f8fd69ccc39c49578dda0dc99eda2d6bc1f2cfbbd,0,USDC,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_SHARES_TRANSFER_RECIPIENTS,0x0604e3BA11CC7C07df78465cAFC85C0548585942
0x0d97b09484655DDaB38e85E37A0D34e4e2531f33,praeFi LTD,PRAY,17021043,0xed192a5a449308117c5c82d23d0e26e894ec98219814093133183d4145cb716d,0,USDC,MIN_MAX_INVESTMENT ALLOWED_ASSETS_FOR_REDEMPTION MIN_ASSET_BALANCES_POST_REDEMPTION,0x8b7a91f32c129eA7B96e76D3Bb2bFFbaD29C7AC0
0x26b67a9B60b3d563056678082F70Aa21f8B0154C,DeFund: Alpha,DFALF,17025691,0x6899ced81fcec6000363557b9c9b7079a4e1a9dd7b0658915d3d86251e11cb96,0.01317598,WBTC,CUMULATIVE_SLIPPAGE_TOLERANCE ALLOWED_SHARES_TRANSFER_RECIPIENTS,0x779136E1c2883d4AadE4D8bB4c71CcEfEaa7c0C2
0xA6dfd5B26644d98a54AcAA87444A906df77BA901, collateralize Index USD,ciUSD,17086775,0x20a36d583e2b10dd459da8ad0fe4473e4a7e1cfe9134dc9b3f08ffa8d57ce31f,0,USDC,,0xd06F1194E5Ce2fBf4bF42efa45853CB5CCE85d4e
0xAdbB5b385E92dCe73786071dEd2Bf6041d524631,Based Department,Based,17106875,0x93201d632be88a7555550eb3a29af9bc87047d8e96b73b21619a39d015f5d899,0,USDC,CUMULATIVE_SLIPPAGE_TOLERANCE ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ALLOWED_EXTERNAL_POSITION_TYPES ONLY_REMOVE_DUST_EXTERNAL_POSITION,0x930cB08a7CD57239c5a001876054197F481cDDC5
0x2D774d3C788865443f84fb4a099AD9605bbA5A6e,BTC Yield Strategy,BTCY,17155176,0xc34a7bf0a00d756cd6bf4c2ac88f994e126f64398b31e03f4d5df1504a551d77,0.00648299,WBTC,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_ADAPTER_INCOMING_ASSETS ALLOWED_ADAPTERS CUMULATIVE_SLIPPAGE_TOLERANCE ALLOWED_SHARES_TRANSFER_RECIPIENTS ALLOWED_ASSETS_FOR_REDEMPTION MIN_ASSET_BALANCES_POST_REDEMPTION,0x15B11767772695ec2D53A17cB4c2b79f11531afa
0x877F51dCB91DC20A5A6cE3645ad69f3aa4D27cae,Ticino Vault,TIV,17236105,0x06f34fd707961981084ddb1ad09c2f8601d46f0e611d24618f7ad74fcdcd76c2,0,USDC,MIN_MAX_INVESTMENT CUMULATIVE_SLIPPAGE_TOLERANCE ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ALLOWED_EXTERNAL_POSITION_TYPES ONLY_REMOVE_DUST_EXTERNAL_POSITION,0x3094aBBcd58c2cfE3B7b433a81F796ebE801E59B
0x9CFE227cAb5ed97CD6781AeE5F7ed6401f566355,Blue Umbrella ☂️,BLUE,17348841,0xa71d154bdb3b0c0d6353b1b29d4755cf6494b14cfb606a7e7f37f549260dc549,171.995604,USDC,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_SHARES_TRANSFER_RECIPIENTS,0x7C844793638AA18280d73bf0464E70C951e0a893
0x105b9a17e371c1D4401229079EDF547d457ed1b9,Stable Liquidity Provider Index,XLP,17414906,0x8da4ee5d5e90b896820a1bcb8fc2593777eb212081423b1a95df0a6643e96294,185.387873,USDC,CUMULATIVE_SLIPPAGE_TOLERANCE ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ONLY_REMOVE_DUST_EXTERNAL_POSITION,0x57D0C0f6458284884F0654CAa53811D013bB6f20
0xeCDBc36e1259d8ea7188fdd15d589f2B73C9530a,ARTX AI Fund,ARTXA,17435146,0x39312688a1d1f5473c7923725e43e2ff8e2a6a5b7878d70d853c1f4afde93175,51313.922365,USDC,ALLOWED_ASSETS_FOR_REDEMPTION ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ONLY_REMOVE_DUST_EXTERNAL_POSITION,0x232b1DA2551c181FE5d98F8B4fC3022d95D7eCD0
0x3c1d1F76ccae2F3733991e45AD7FDc1Ff7172682,LIQUIDITY VAULT,ENZF,17435753,0xbc16f8faeab5acc151ba71598b146c3f0151673c20fc0e51e187e529481765a0,0,DAI,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_SHARES_TRANSFER_RECIPIENTS,0x8e9107CEaB6081324A7cdeb6f136697fe85d348a
0x0EF7B355aEe5ffFF87cdC77daa4b08d773C12367,CoD-GPT Portfolio,CODAI,17442078,0xabbc842f2ab1aab3e3cdf8033d13ae2470a3d5ef691a0a1711e69e8a19c80833,0.006605,USDT,,0x6e7918480137BcED902fdDDad46c5DD86aa97736
0x464cCA6ce6AD1Aab584eae41B78966235B1DDC51,MCP FUND,MCP,17444155,0x327f5486f48af3d098c37c6b0f3bce7c90dab2d5bd10fbbcb2805bd6ef709bb6,0.122114700010206595,DAI,CUMULATIVE_SLIPPAGE_TOLERANCE ONLY_UNTRACK_DUST_OR_PRICELESS_ASSETS ONLY_REMOVE_DUST_EXTERNAL_POSITION,0xafc1ed7c7b4f45D13e062a01F2A4ab5FEBD86360
0x3f4f0Ff43Ed91De0d8075F2F8eBe7e5276000108,Sigma Strategy,ETHOS,17449427,0xa783a48b41829edf288d0838ba04af9d88b336613b3ab73f75479a548b23d4b5,0,USDC,MIN_MAX_INVESTMENT ALLOWED_ADAPTERS_PER_MANAGER ALLOWED_ADAPTERS ALLOWED_EXTERNAL_POSITION_TYPES ALLOWED_EXTERNAL_POSITION_TYPES_PER_MANAGER,0xbf74979B21fe7724aB19c6fC63352570F5EECd4f
0xc3F77424917FD81AB4C7932c826720F719eB95d6,RIVALIERE ETH VAULT,RVR,17494139,0xce8ee126b8af6373f1fb838d83aa9dfdd1b1f0653ca8c1c873ca3430feef0efe,0.002495,USDT,ALLOWED_SHARES_TRANSFER_RECIPIENTS,0xfB19FDa7334BC28D64c0288c19Af8F48C1274846
0x7c9fC4926c750AF162019039DE88aEcdb189bc08,Cypher BTC,CBTC,17532398,0xaa208cb339821cff90a5dc2b6097e86c191ce3bed0320297089546061e4d13fd,183.229183,USDC,ALLOWED_DEPOSIT_RECIPIENTS ALLOWED_SHARES_TRANSFER_RECIPIENTS,0x27C295f01FF5d5D3fdeB1aF9115Eb5208404C099
